plsmaswd;coh3002c
pnchmn2;sys573
pnyaa;neogeo
popbounc;neogeo
powyak96;konamigv
powyakex;sys573
prdgp03;sys246
preisle2;neogeo
prikura;stvbios
primrag2;coh1000w
pspikes2;neogeo
pstone;naomi
pstone2;naomi
psyforce;taitofx1
psyforce;coh1000t
psyvar2;naomigd
psyvaria;coh3002t
psyvarrv;coh3002t
pulstar;neogeo
puyofev;naomigd
puyosun;stvbios
puzldama;konamigx
puzlstar;pgm
puzzledp;neogeo
puzzli2;pgm
puzzloop;skns
pwrshovl;taitotz
qofd3;chihiro
qofdtbk;chihiro
questofd;chihiro
racinfrc;konamigx
radarzon;cvs
radirgy;naomigd
radirgyn;naomi
ragnagrd;neogeo
raizpin;taitotz
raycris;coh3002t
raystorm;taitofx1
raystorm;coh1000t
rbff1;neogeo
rbff2;neogeo
rbffspec;neogeo
rbisland;cchip
rbislande;cchip
ridhero;neogeo
ringout;naomi
roadblst;atarisy1
roadedge;hng64
roadrunn;atarisy1
roboarmy;neogeo
rotd;neogeo
rrvac;sys246
rsgun;stvbios
rumblef;awbios
rumblef2;awbios
rungun2;konamigx
rushhero;konamigx
rvschool;cpzn1
rvschool;coh3002c
s1945p;neogeo
salarymc;sys573
salmankt;awbios
salmndr2;konamigx
sams64;hng64
sams64_2;hng64
samsh5sp;neogeo
samsho;neogeo
samsho2;neogeo
samsho3;neogeo
samsho4;neogeo
samsho5;neogeo
samsptk;awbios
sandor;stvbios
sasissu;stvbios
sassisu;stvbios
savagere;neogeo
sbp;neogeo
sbxc;sys246
scg05nt;chihiro
scg06nt;chihiro
scptour;sys246
sdodgeb;neogeo
seabass;stvbios
sengekis;skns
sengoku;neogeo
sengoku2;neogeo
sengoku3;neogeo
senknow;skns
senko;naomigd
senkosp;naomigd
sexyparo;konamigx
sfchamp;taitofx1
sfchamp;coh1000t
sfex;cpzn1
sfex;coh1000c
sfex2;cpzn2
sfex2;coh3002c
sfex2p;coh3002c
sfexp;cpzn1
sfexp;coh1000c
sfz3ugd;naomigd
sg2j;cpzn2
sgdrvsim;naomi2
