name;description;sample;bios;selection;fbneo
ninjamas;Ninja Master's - haoh-ninpo-cho;;neogeo;fighting;ninjamas
plsmaswd;Plasma Sword: Nightmare of Bilstein;;coh3002c;fighting;#N/A
pwrinst2;Power Instinct 2 (USA, ver. 94/04/08);;;fighting;pwrinst2
primrage;Primal Rage;;;fighting;#N/A
rotd;Rage of the Dragons;;neogeo;fighting;rotd
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;;neogeo;fighting;rbffspec
redearth;Red Earth / War-Zard (Euro 961121);;;fighting;redearth
rvschool;Rival Schools: United By Fate;;coh3002c;fighting;#N/A
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru Jigokuhen;;neogeo;fighting;samsho2
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin;;neogeo;fighting;samsho4
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special;;neogeo;fighting;samsh5sp
slammast;Saturday Night Slam Masters;;;fighting;slammast
svc;SNK vs. Capcom - SVC Chaos;;neogeo;fighting;svc
soulclbr;Soul Calibur;;;fighting;#N/A
souledge;Soul Edge Ver. II;;;fighting;#N/A
starglad;Star Gladiator Episode I: Final Crusade;;coh1000c;fighting;#N/A
sfa2;Street Fighter Alpha 2;;;fighting;sfa2
sfa3;Street Fighter Alpha 3;;;fighting;sfa3
sfexp;Street Fighter EX Plus;;coh1000c;fighting;#N/A
sfex2p;Street Fighter EX2 Plus;;coh3002c;fighting;#N/A
sf2ce;Street Fighter II': Champion Edition;;;fighting;sf2ce
sf2hf;Street Fighter II': Hyper Fighting;;;fighting;sf2hf
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;;;fighting;sfiii3
sgemf;Super Gem Fighter Mini Mix;;;fighting;sgemf
ssf2t;Super Street Fighter II Turbo;;;fighting;ssf2t
tekken3;Tekken 3;;;fighting;#N/A
tektagt;Tekken Tag Tournament;;;fighting;#N/A
daraku;The Fallen Angels  / Daraku Tenshi - The Fallen Angels;;;fighting;daraku
karatour;The Karate Tournament;;;fighting;karatour
kof96;The King of Fighters '96;;neogeo;fighting;kof96
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends;;neogeo;fighting;kof98
kof2000;The King of Fighters 2000;;neogeo;fighting;kof2000
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);;neogeo;fighting;kof2002
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi;;neogeo;fighting;lastbld2
trstar;Top Ranking Stars (Ver 2.1O 1993/05/21) (New Version);;;fighting;trstar
tkdensho;Toukidenshou - Angel Eyes;;;fighting;tkdensho
umk3;Ultimate Mortal Kombat 3;;;fighting;umk3
vsav;Vampire Savior: The Lord of Vampire;;;fighting;vsav
vf;Virtua Fighter;;;fighting;#N/A
vf2;Virtua Fighter 2;;;fighting;#N/A
vf3;Virtua Fighter 3;;;fighting;#N/A
vfremix;Virtua Fighter Remix;;stvbios;fighting;#N/A
wakuwak7;Waku Waku 7;;neogeo;fighting;wakuwak7
wh2j;World Heroes 2 Jet (ADM-007)(ADH-007);;neogeo;fighting;wh2j
xmvsf;X-Men Vs. Street Fighter;;;fighting;xmvsf
xmcota;X-Men: Children of the Atom;;;fighting;xmcota
