11beat;aleck64;
domino;midssio;
doncdoon;aleck64;
donghaer;crysbios;
dotron;midssio;
dotrona;midssio;dotron
dotrone;midssio;dotron
doubledr;neogeo;
doubledrbh;neogeo;doubledr
doubledrsp;neogeo;doubledr
dragchrn;sys246;
dragonsh;neogeo;
dragoona;konamigx;
dragoonj;konamigx;
dragoonj;konamigx;dragoona
dragwld2;pgm;
drbyocwa;naomi;derbyocw
drbyocwb;naomi;derbyocw
drbyocwc;naomi;derbyocw
drbyocwt;naomi;derbyocw
drgw2100c;pgm;drgw2
drgw2100hk;pgm;drgw2
drgw2100j;pgm;drgw2
drgw2100x;pgm;drgw2
drgw2101c;pgm;drgw2
drgw2101j;pgm;drgw2
drgw2;pgm;
drgw2c;pgm;drgw2
drgw2j;pgm;drgw2
drgw3100;pgm;drgw3
drgw3103;pgm;drgw3
drgw3105;pgm;drgw3
drgw3;pgm;
drmn2m;sys573;
drmn2mpu;sys573;drmn2m
drmn3m;sys573;pcnfrk3m
drmn;sys573;
dsem2;sys573;
dsem;sys573;
dsfdct;sys573;
dsfdcta;sys573;dsfdct
dsfdr;sys573;
dsftkd;sys573;
dstage;sys573;
ducki;neogeo;
dw2001;pgm;
dwex101cn;pgm;dwex
dwex;pgm;
dwi;neogeo;
dwia;neogeo;dwi
dwpc101j;pgm;dwpc
dwpc;pgm;
dybb99;naomi;
dybbnao;naomi;
dygolf;naomigd;
dygolfp;naomigd;dygolf
eightman;neogeo;
ejihon;stvbios;
elandore;stvbios;
emeralda;namcoc70;
emeraldah;namcoc70;emeralda
emeraldaj;namcoc70;emeralda
emeraldaja;namcoc70;emeralda
evosocc;crysbios;
exvania;namcoc69;
exvaniaj;namcoc69;exvania
f355;f355dlx;
f355p;f355dlx;f355
f355twin;f355bios;
f355twinp;f355bios;f355twin
f355twn2;f355bios;
fa;namcoc69;fghtatck
fantjour;konamigx;
fantjour;konamigx;gokuparo
fantjoura;konamigx;fantjour
fastdraw;alg_bios;
fastdraw_130;alg_bios;fastdraw
fateulc;sys246;
fateulcb;sys246;fateulc
fatfursa;neogeo;fatfursp
fatfursp;neogeo;
fatfurspa;neogeo;fatfursp
fatfurspbs;neogeo;fatfursp
fatfurwa;hng64;
fatfury1;neogeo;
fatfury1bh;neogeo;fatfury1
fatfury2;neogeo;
fatfury2a;neogeo;fatfury2
fatfury3;neogeo;
fatfury3a;neogeo;fatfury3
fatfury3bh;neogeo;fatfury3
fbait2bc;sys573;
fbaitbc;sys573;
fbaitmc;sys573;
fbaitmca;sys573;fbaitmc
fbaitmcj;sys573;fbaitmc
fbaitmcu;sys573;fbaitmc
fbfrenzy;neogeo;
ffreveng;stvbios;
ffrevng10;stvbios;ffreveng
fghtatck;namcoc69;
fghtjam;sys246;
fghtmn;sys573;
fghtmna;sys573;fghtmn
fghtmnk;sys573;fghtmn
fghtmnu;sys573;fghtmn
fhboxers;stvbios;
fightfev;neogeo;
fightfeva;neogeo;fightfev
fightfva;neogeo;fightfev
findlove;stvbios;
finlarch;stvbios;sleague
finlarch;stvbios;smleague
flamegun;coh1002m;
flamegunj;coh1002m;flamegun
flipmaze;coh3002t;
flipshot;neogeo;
fotns;awbios;
froman2b;neogeo;
fswords;neogeo;samsho3
ftimpact;coh1000t;ftimpcta
ftimpactj;coh1000t;ftimpcta
ftimpactu;coh1000t;ftimpcta
ftimpcta;coh1000t;
ftimpcta;coh1000t;ftimpact
ftimpcta;taitofx1;
ftspeed;awbios;
fzeroax;triforce;
fzeroaxc;triforce;fzeroax
fzeroaxd;triforce;fzeroax
fzeroaxm;triforce;
galaxyfg;neogeo;
galgame2;galgbios;
galgame3;galgbios;
galgame4;galgbios;
gallgall;alg_bios;
gallgall_21;alg_bios;gallgall
galpandx;skns;
galpani4;skns;
galpani4j;skns;galpani4
galpani4k;skns;galpani4
galpanidx;skns;galpani4
galpaniex;skns;galpani4
galpanis;skns;
galpanisa;skns;galpanis
galpanise;skns;galpanis
galpanisj;skns;galpanis
galpanisk;skns;galpanis
galpaniska;skns;galpanis
galpans2;skns;
galpans2a;skns;galpans2
galpans2j;skns;galpans2
galpans3;skns;
galpansu;skns;galpans2
ganryu;neogeo;
garou;neogeo;
garoub;neogeo;garou
garoubl;neogeo;garou
garouh;neogeo;garou
garouha;neogeo;garou
garouo;neogeo;garou
garoup;neogeo;garou
gaxeduel;stvbios;
gbbchmp;sys573;
gchgchmp;sys573;
gdarius2;coh1000t;
gdarius2;coh1000t;gdarius
gdarius2;taitofx1;gdarius
gdarius;coh1000t;gdarius2
gdarius;taitofx1;
gdariusb;coh1000t;gdarius2
gdariusj;coh1000t;gdarius2
gdariusu;coh1000t;gdarius2
gdvsgd;sys256;
gdvsgdnx;sys256;
gekpurya;triforce;
gekpuryb;triforce;gekpurya
ggisuka;awbios;
ggram2;naomi;
ggreats2;konamigx;opengolf
ggx15;awbios;
ggx;naomi;
ggxx;naomigd;
ggxxac;naomigd;
ggxxrl;naomigd;
ggxxrlo;naomigd;ggxxrl
ggxxsla;naomigd;
ghostbi;neogeo;
ghostlop;neogeo;
ghostsqo;chihiro;ghostsqu
ghostsqu;chihiro;
glprac2j;tps;glpracr2
glprac2l;tps;glpracr2
glpracr2;coh1002m;
glpracr2;tps;
glpracr2j;coh1002m;glpracr2
glpracr2l;coh1002m;glpracr2
glpracr3;coh1002m;
glpracr3j;coh1002m;glpracr3
glpracr;coh1000c;
glpracr;cpzn1;
glpracrj;coh1000c;glpracr
goalx3;neogeo;
gobyrc;coh3002t;
gokuparo;konamigx;
gokuparo;konamigx;fantjour
goldbug;cvs;
gowcaizr;neogeo;
gpilots;neogeo;
gpilotsh;neogeo;gpilots
gpilotsp;neogeo;gpilots
gradiusb;bubsys;
gram2000;naomi;
grdforce;stvbios;
groovef;stvbios;
gslgr94j;namcoc75;gslgr94u
gslgr94u;namcoc75;
gslugrsj;namcoc75;
gtfore01;iteagle;
gtfore02;iteagle;
gtfore03;iteagle;
gtfore03a;iteagle;gtfore03
gtfore04;iteagle;
gtfore04a;iteagle;gtfore04
gtfore05;iteagle;
gtfore05a;iteagle;gtfore05
gtfore05b;iteagle;gtfore05
gtfore05c;iteagle;gtfore05
gtfore06;iteagle;
gtfrk11m;sys573;
gtfrk3ma;sys573;gtrfrk3m
gtfrk3mb;sys573;gtrfrk3m
gticlub2;kviper;
gticlub2ea;kviper;gticlub2
gtrfrk2m;sys573;
gtrfrk3m;sys573;
gtrfrk4m;sys573;
gtrfrk5m;sys573;
gtrfrk6m;sys573;
gtrfrk7m;sys573;
gtrfrks;sys573;
gtrfrksa;sys573;gtrfrks
gtrfrksj;sys573;gtrfrks
gtrfrksu;sys573;gtrfrks
gunbuletj;namcoc75;ptblank
gunbuletw;namcoc75;ptblank
gundamos;chihiro;
gundmct;naomi;
gundmgd;naomigd;
gundmxgd;naomigd;
gundzaft;sys246;
gunmania;sys573;
gunnail;nmk004;
gunnailp;nmk004;gunnail
gunsur2;naomi;
gunsur2j;naomi;gunsur2
gururin;neogeo;
gutsn;skns;
gwing2;naomi;
hachamf;nmk004;
hachamfa;nmk004;hachamf
hachamfb;nmk004;hachamf
hachamfp;nmk004;hachamf
hanagumi;stvbios;
happy6100cn;pgm;happy6
happy6100hk;pgm;happy6
happy6101;pgm;happy6
happy6;pgm;
haremchl;cubo;
hatris;ym2608;
hatrisj;ym2608;hatris
heartatk;cvs;
herbiedk;cvs;huncholy
hero;cvs;
herodk;cvs;hero
herodku;cvs;hero
hmgeo;naomi;
hndlchmp;sys573;strgchmp
hndlchmpj;sys573;strgchmp
hotd2;hod2bios;
hotd2e;hod2bios;hotd2
hotd2o;hod2bios;hotd2
hotd2p;hod2bios;hotd2
hotd3;chihiro;
hunchbak;cvs;
hunchbkd;cvs;hunchbak
hunchbks;cvs;hunchbak
huncholy;cvs;
hvnsgate;coh1001l;
hypbbc2p;sys573;
hypbbc2pk;sys573;hypbbc2p
hyperath;konamigv;
hyperbbc;sys573;
hyperbbca;sys573;hyperbbc
hyperbbck;sys573;hyperbbc
hypernoid;neogeo;
ikaruga;naomigd;
illvelo;naomi;
indytemp2;atarisy1;indytemp
indytemp3;atarisy1;indytemp
indytemp4;atarisy1;indytemp
indytemp;atarisy1;
indytempc;atarisy1;indytemp
indytempd;atarisy1;indytemp
inidv3ca;naomi2;inidv3cy
inidv3cy;naomi2;
initd;naomi2;
initdexp;naomi2;
initdexpo;naomi2;initdexp
initdo;naomi2;initd
initdv2e;naomi2;initdv2j
initdv2j;naomi2;
initdv2ja;naomi2;initdv2j
initdv2jo;naomi2;initdv2j
initdv3e;naomi2;
initdv3j;naomi2;
initdv3jb;naomi2;initdv3j
introdon;stvbios;
inunoos;naomi;
ironclad;neogeo;
ironclado;neogeo;ironclad
irrmaze;neogeo;
jambo;naomi;
janshin;neogeo;
jdredd;acpsx;
jdredd;coh1000a;
jdreddb;acpsx;jdredd
jdreddb;coh1000a;jdredd
jgakuen1;coh3002c;rvschool
jgakuen;coh3002c;rvschool
jgakuen;cpzn1;rvschool
jigkmgri;cchip;bonzeadv
jigkmgria;cchip;bonzeadv
jingystm;naomigd;
jjparad2;skns;
jjparads;skns;
jockeygp;neogeo;
jockeygpa;neogeo;jockeygp
journey;midssio;
joyjoy;neogeo;
jpark3;kviper;
jpark3u;kviper;jpark3
jppyex98;sys573;
jumping;cchip;rbisland
jumpinga;cchip;rbisland
jumpingi;cchip;rbisland
kabukikl;neogeo;
kabukiklb;neogeo;kabukikl
karnovr;neogeo;
karous;naomigd;
kdeadeye;konamigv;
kf10thep;neogeo;kof2002
kf2k1pa;neogeo;kof2001
kf2k1pls;neogeo;kof2001
kf2k23rd;neogeo;kof2002
kf2k2mp2;neogeo;kof2002
kf2k2mp;neogeo;kof2002
kf2k2pla;neogeo;kof2002
kf2k2plb;neogeo;kof2002
kf2k2plc;neogeo;kof2002
kf2k2pls;neogeo;kof2002
kf2k2ps2;neogeo;kof2002
kf2k2ps2re;neogeo;kof2002
kf2k2ru35;neogeo;kof2002
kf2k3bl;neogeo;kof2003
kf2k3bla;neogeo;kof2003
kf2k3pl;neogeo;kof2003
kf2k3ps2;neogeo;kof2003
kf2k3ps2sp;neogeo;kof2003
kf2k3upl;neogeo;kof2003
kf2k4pls;neogeo;kof2002
kf2k5uni;neogeo;kof2002
kick4csh;naomi;
kick;midssio;
kickc;midssio;kick
kickman;midssio;kick
kicknkick;sys573;
kikaioh;coh3002c;techromn
kikaioh;cpzn2;techromn
killbld100;pgm;killbld
killbld104;pgm;killbld
killbld106;pgm;killbld
killbld109;pgm;killbld
killbld;pgm;
killbldp;pgm;
kingrt66;naomi2;
kingrt66p;naomi2;kingrt66
kingyo;segasp;
kingyoch;segasp;kingyo
kinniku2;sys256;
kinniku;sys256;
kiwames;stvbios;
kizuna4p;neogeo;kizuna
kizuna;neogeo;
knckhead;namcoc70;
knckheadj;namcoc70;knckhead
knckheadjp;namcoc70;knckhead
kof10th;neogeo;kof2002
kof10thd;neogeo;kof2002
kof10thuo;neogeo;kof2002
kof2000;neogeo;
kof2000bc;neogeo;kof2000
kof2000n;neogeo;kof2000
kof2000otc;neogeo;kof2000
kof2000pls;neogeo;kof2000
kof2000ps2;neogeo;kof2000
kof2000sp;neogeo;kof2000
kof2001;neogeo;
kof2001h;neogeo;kof2001
kof2001pkz;neogeo;kof2001
kof2001ru;neogeo;kof2001
kof2001ult;neogeo;kof2001
kof2002;neogeo;
kof2002b;neogeo;kof2002
kof2002ps2;neogeo;kof2002
kof2003;neogeo;
kof2003d;neogeo;kof2003
kof2003h;neogeo;kof2003
kof2k1rp;neogeo;kof2001
kof2k2omg8;neogeo;kof2002
kof2k2omg9;neogeo;kof2002
kof2k2omg9b;neogeo;kof2002
kof2k2omg;neogeo;kof2002
kof2k2plus;neogeo;kof2002
kof2k4se;neogeo;kof2002
kof2kxxx;neogeo;kof2000
kof94;neogeo;
kof94br;neogeo;kof94
kof94rz;neogeo;kof94
kof95;neogeo;
kof95a;neogeo;kof95
kof95b;neogeo;kof95
kof95h;neogeo;kof95
kof95sp;neogeo;kof95
kof96;neogeo;
kof96a;neogeo;kof96
kof96ae20;neogeo;kof96
kof96ae;neogeo;kof96
kof96cn;neogeo;kof96
kof96ep;neogeo;kof96
kof96h;neogeo;kof96
kof96rp08sp;neogeo;kof96
kof96rss;neogeo;kof96
kof97;neogeo;
kof97a;neogeo;kof97
kof97ae;neogeo;kof97
kof97aef;neogeo;kof97
kof97cbt;neogeo;kof97
kof97cn;neogeo;kof97
kof97evn;neogeo;kof97
kof97h;neogeo;kof97
kof97ip;neogeo;kof97
kof97k;neogeo;kof97
kof97oro;neogeo;kof97
kof97pla;neogeo;kof97
kof97pls;neogeo;kof97
kof97pm;neogeo;kof97
kof97ps;neogeo;kof97
kof97rc;neogeo;kof97
kof97sp;neogeo;kof97
kof97t;neogeo;kof97
kof97tp;neogeo;kof97
kof97xt;neogeo;kof97
kof98;neogeo;
kof98a;neogeo;kof98
kof98ae2016;neogeo;kof98
kof98ae;neogeo;kof98
kof98bc2k2;neogeo;kof98
kof98bc2nd;neogeo;kof98
kof98cb;neogeo;kof98
kof98cp;neogeo;kof98
kof98eckg;neogeo;kof98
kof98ecky;neogeo;kof98
kof98h;neogeo;kof98
kof98k;neogeo;kof98
kof98ka;neogeo;kof98
kof98mix;neogeo;kof98
kof98n;neogeo;kof98
kof98pfe;neogeo;kof98
kof98ratio;neogeo;kof98
kof98ult;neogeo;kof98
kof99;neogeo;
kof99a;neogeo;kof99
kof99ae;neogeo;kof99
kof99e;neogeo;kof99
kof99eur2;neogeo;kof99
kof99eur;neogeo;kof99
kof99h;neogeo;kof99
kof99jh;neogeo;kof99
kof99k;neogeo;kof99
kof99ka;neogeo;kof99
kof99n;neogeo;kof99
kof99p;neogeo;kof99
kof99rp;neogeo;kof99
kof99sk;neogeo;kof99
kof99sr;neogeo;kof99
kofnw;awbios;
kofnwj;awbios;kofnw
kofxi;awbios;
kog;neogeo;kof97
kogplus;neogeo;kof97
kollon;coh3002t;
kollonc;coh3002t;kollon
konam80a;sys573;konam80s
konam80j;sys573;konam80s
konam80k;sys573;konam80s
konam80s;sys573;
konam80u;sys573;konam80s
kotm2;neogeo;
kotm2a;neogeo;kotm2
kotm2p;neogeo;kotm2
kotm;neogeo;
kotmh;neogeo;kotm
kov100;pgm;kov
kov111;pgm;kov
kov114;pgm;kov
kov115;pgm;kov
kov2100;pgm;kov2
kov2101;pgm;kov2
kov21022;pgm;kov2
kov2102;pgm;kov2
kov2103;pgm;kov2
kov2104;pgm;kov2
kov2106;pgm;kov2
kov2;pgm;
kov2dzxx;pgm;kov2
kov2p200;pgm;kov2p
kov2p202;pgm;kov2p
kov2p203;pgm;kov2p
kov2p204;pgm;kov2p
kov2p;pgm;
kov2p;pgm;kov2
kov2pemp;pgm;kov2p
kov2pfwll;pgm;kov2p
kov2pshpd;pgm;kov2p
kov7sprt;awbios;
kov;pgm;
kovassg;pgm;kovshp
kovassge;pgm;kovshp
kovassgn;pgm;kovshp
kovlsjb;pgm;kovshp
kovlsjba;pgm;kovshp
kovlsqh2;pgm;kovshp
kovlsqh;pgm;kovshp
kovlsqho;pgm;kovshp
kovlsyx;pgm;kovshp
kovlsyxqszl;pgm;kovshp
kovlsyxqxzl;pgm;kovshp
kovlsyxqxzlp;pgm;kovshp
kovplus12dw;pgm;kovplus
kovplus20tx;pgm;kovplus
kovplus;pgm;
kovplus;pgm;kov
kovplusa;pgm;kovplus
kovplusq;pgm;kovplus
kovqhsgs;pgm;kovsh
kovqhsgsa;pgm;kovsh
kovqhsgsd;pgm;kovsh
kovsgqyz;pgm;kovplus
kovsgqyza;pgm;kovplus
kovsgqyzb;pgm;kovplus
kovsgqyzc;pgm;kovplus
kovsgqyzd;pgm;kovplus
kovsh100;pgm;kovsh
kovsh101;pgm;kovsh
kovsh102;pgm;kovsh
kovsh103;pgm;kovsh
kovsh;pgm;
kovsh;pgm;kov
kovshb;pgm;kovsh
kovshp100;pgm;kovshp
kovshp101;pgm;kovshp
kovshp;pgm;
kovshp;pgm;kov
kovshpd3dw;pgm;kovshp
kovshpqszl;pgm;kovshp
kovshpqszltw;pgm;kovshp
kovshpzqhl;pgm;kovshp
kovshxas;pgm;kovshp
kovytzy;pgm;
kovytzyce;pgm;kovshp
kovytzyws;pgm;kovshp
kroozr;midssio;
kurucham;naomigd;
kurufev;aleck64;
lacrazyc;konamigv;
landhigh;taitotz;
landhigha;taitotz;landhigh
lans2004;neogeo;shocktr2
lasstixx;cubo;
lastbh;alg_bios;
lastbh_006;alg_bios;lastbh
lastblad;neogeo;
lastblada;neogeo;lastblad
lastbladh;neogeo;lastblad
lastbladsp;neogeo;lastblad
lastbld2;neogeo;
lastbld2eh;neogeo;lastbld2
lastbld2te;neogeo;lastbld2
lastblda;neogeo;lastblad
lasthope;neogeo;
lastsold;neogeo;lastblad
lb2b;neogeo;lastbld2
lbowling;neogeo;
le2;konamigx;
le2j;konamigx;le2
