11beat;aleck64;
vathlete;naomigd;
vathletep;naomigd;vathlete
vblokbrk;skns;
vblokbrka;skns;vblokbrk
vcop3;chihiro;
vcop3a;chihiro;vcop3
vf4;naomi2;
vf4b;naomi2;vf4
vf4c;naomi2;vf4
vf4cart;naomi2;
vf4evo;naomi2;
vf4evoa;naomi2;vf4evo
vf4evob;naomi2;vf4evo
vf4evoct;naomi2;
vf4o;naomi2;vf4
vf4tuned;naomi2;
vf4tuneda;naomi2;vf4tuned
vf4tunedd;naomi2;vf4tuned
vfkids;stvbios;
vfremix;stvbios;
vfurlong;awbios;
viewpoin;neogeo;
viewpoinp;neogeo;viewpoin
virnba;naomi;
virnbao;naomi;virnba
virnbap;naomi;virnba
virnbapa;naomi;virnba
virtpool;iteagle;
vivdolls;aleck64;
vliner53;neogeo;vliner
vliner54;neogeo;vliner
vliner6e;neogeo;vliner
vliner7e;neogeo;vliner
vliner;neogeo;
vmahjong;stvbios;
vnight;sys246;
volfied;cchip;
volfiedj;cchip;volfied
volfiedjo;cchip;volfied
volfiedu;cchip;volfied
vonot;naomi;
vs2002ex;triforce;
vs2002j;triforce;
vs2002t3;triforce;
vs2_2k;naomi;
vs2_2ko;naomi;vs2_2k
vs42006;triforce;
vs42006b;triforce;vs42006
vs42k6ex;triforce;
vs4;triforce;
vs4e;triforce;vs4
vs4eo;triforce;vs4
vs4j;triforce;
vs4jc;triforce;vs4j
vs4o;triforce;vs4
vshoot;namcoc75;
vsnetscr;konamigx;
vsnetscra;konamigx;vsnetscr
vsnetscreb;konamigx;vsnetscr
vsnetscrj;konamigx;vsnetscr
vsnetscru;konamigx;vsnetscr
vstrik3;naomi2;
vstrik3c;naomi2;
vstrik3cb;naomi2;vstrik3c
vstrik3co;naomi2;vstrik3c
vtenis2c;naomi;
vtennis2;naomigd;
vtennis;naomi;
vtennisg;naomigd;
wacko;midssio;
waidrive;awbios;
wakuwak7;neogeo;
wakuwak7bh;neogeo;wakuwak7
wallst;cvs;
wanganmd;sys246;
wanganmr;sys246;
wangmid2;chihiro;
wangmid2j;chihiro;wangmid2
wangmid2ja;chihiro;wangmid2
wangmid2o;chihiro;wangmid2
wangmid;chihiro;
wangmidj;chihiro;wangmid
wccf116;naomigd;
wccf1dup;naomigd;
wccf212e;naomigd;
wccf234j;naomigd;
wccf2chk;naomigd;
wccf310j;naomigd;
wccf322e;naomigd;
wccf331e;naomigd;wccf322e
wccf420e;naomigd;
wcombat;kviper;
wcombatb;kviper;wcombat
wcombatj;kviper;wcombat
wcombatk;kviper;wcombat
wcombatu;kviper;wcombat
wh1;neogeo;
wh1h;neogeo;wh1
wh1ha;neogeo;wh1
wh2;neogeo;
wh2h;neogeo;wh2
wh2j;neogeo;
wh2ja;neogeo;wh2j
whp;neogeo;
winspike;konamigx;
winspikea;konamigx;winspike
winspikej;konamigx;winspike
winterht;stvbios;
wjammers;neogeo;
wldkicks;naomi;
wldkicksj;naomi;wldkicks
wldkickspj;naomi;wldkicks
wldkickspw;naomi;wldkicks
wldkicksu;naomi;wldkicks
wldrider;naomi2;
wrungp;naomi;
wrungpo;naomi;wrungp
wsbbgd;naomigd;
wsjr15;alg_bios;wsjr
wsjr;alg_bios;
wsjr_15;alg_bios;wsjr
wswe2k3;kpython;
wswe;kpython;
wulybuly;crysbios;
wwfroyal;naomi;
xday2;namcoc70;
xeno;neogeo;
xenocrisis;neogeo;
xiistag;coh3002t;
xrally;hng64;
xtrial;kviper;
xtrmhnt2;awbios;
xtrmhunt;awbios;
yuyuhaku;sys256;
zedblade;neogeo;
zerofxz;pgm;olds
zerogu2;naomi;
zgundm;sys246;
zgundmdx;sys246;
zintrckb;neogeo;
zintrkcd;neogeo;zintrckb
znpwfv;stvbios;
znpwfvt;stvbios;znpwfv
zoidiexp;sys246;
zoidsinf;sys246;
zokuoten;coh3002t;
zombrvn;naomi;
zombrvne;naomi;zombrvn
zombrvno;naomi;zombrvn
zooo;coh3002t;
zortonbr;alg_bios;
zortonbr_100;alg_bios;zortonbr
zunou;naomi;
zupapa;neogeo;
