name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
spacmaze;"Space Maze Attack (Jpn)";1983;"HAL Kenkyuujo";YES;msx;NO;-;-;
spacmazeb;"Space Maze Attack (Jpn, Alt 2)";1983;"HAL Kenkyuujo";NO;spacmaze;YES;spacmaze;-;
spacmazea;"Space Maze Attack (Jpn, Alt)";1983;"HAL Kenkyuujo";NO;spacmaze;YES;spacmaze;-;
srescue;"Space Rescue (Euro)";1988;"Eurosoft";YES;msx;NO;-;-;
spacetrb;"Space Trouble (Jpn)";1984;"HAL Kenkyuujo";YES;msx;NO;-;-;
spacewlk;"Space Walk (Euro)";1985;"Mastertronic";YES;msx;NO;-;-;
sparkie;"Sparkie (Jpn)";1983;"Sony";YES;msx;NO;-;-;
spelunkr;"Spelunker (Jpn)";1986;"Irem";YES;msx;NO;-;-;
spelunkra;"Spelunker (Jpn, Alt)";1986;"Irem";NO;spelunkr;YES;spelunkr;-;
splash;"Splash (Spa)";1986;"Mind Games Espa̱a";YES;msx;NO;-;-;
spooksl;"Spooks & Ladders";1985;"Kuma Computers";YES;msx;NO;-;-;
spyvssp2;"Spy vs Spy II - The Island Caper (Euro)";1987;"Databyte";YES;msx;NO;-;-;
squishem;"Squish'em (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
squishema;"Squish'em (Jpn, Alt)";1984;"ASCII";NO;squishem;YES;squishem;-;
staravng;"Star Avenger";1984;"Kuma Computers";YES;msx;NO;-;-;
starblaz;"Star Blazer (Jpn)";1985;"Sony";YES;msx;NO;-;-;
starblazb;"Star Blazer (Jpn, Alt 2)";1985;"Sony";NO;starblaz;YES;starblaz;-;
starblaza;"Star Blazer (Jpn, Alt)";1985;"Sony";NO;starblaz;YES;starblaz;-;
bosco;"Star Destroyer Bosconian (Jpn)";1984;"Namcot";YES;msx;NO;-;-;
boscob;"Star Destroyer Bosconian (Jpn, Alt 2)";1984;"Namcot";NO;bosco;YES;bosco;-;
boscoa;"Star Destroyer Bosconian (Jpn, Alt)";1984;"Namcot";NO;bosco;YES;bosco;-;
