name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
aquagame;"The Aquatic Games Starring James Pond and the Aquabats (Euro, USA)";1992;"Electronic Arts";YES;-;NO;-;-;
redcliff;"The Battle of Red Cliffs - Romance of the Three Kingdoms";199?;"<unlicensed>";YES;-;NO;-;-;
redcliffa;"The Battle of Red Cliffs - Romance of the Three Kingdoms (Hacked out Protection?)";199?;"<unlicensed>";NO;redcliff;YES;redcliff;-;
berensp20;"The Berenstain Bears' Camping Adventure (Prototype, 19940323)";1994;"Sega";NO;berens;YES;berens;-;
berensp19;"The Berenstain Bears' Camping Adventure (Prototype, 19940428)";1994;"Sega";NO;berens;YES;berens;-;
berensp18;"The Berenstain Bears' Camping Adventure (Prototype, 19940429)";1994;"Sega";NO;berens;YES;berens;-;
berensp17;"The Berenstain Bears' Camping Adventure (Prototype, 19940506)";1994;"Sega";NO;berens;YES;berens;-;
berensp16;"The Berenstain Bears' Camping Adventure (Prototype, 19940511)";1994;"Sega";NO;berens;YES;berens;-;
berensp15;"The Berenstain Bears' Camping Adventure (Prototype, 19940517)";1994;"Sega";NO;berens;YES;berens;-;
berensp14;"The Berenstain Bears' Camping Adventure (Prototype, 19940519)";1994;"Sega";NO;berens;YES;berens;-;
berensp13;"The Berenstain Bears' Camping Adventure (Prototype, 19940523)";1994;"Sega";NO;berens;YES;berens;-;
berensp12;"The Berenstain Bears' Camping Adventure (Prototype, 19940526)";1994;"Sega";NO;berens;YES;berens;-;
berensp11;"The Berenstain Bears' Camping Adventure (Prototype, 19940530)";1994;"Sega";NO;berens;YES;berens;-;
berensp10;"The Berenstain Bears' Camping Adventure (Prototype, 19940602)";1994;"Sega";NO;berens;YES;berens;-;
berensp09;"The Berenstain Bears' Camping Adventure (Prototype, 19940610)";1994;"Sega";NO;berens;YES;berens;-;
berensp08;"The Berenstain Bears' Camping Adventure (Prototype, 19940709)";1994;"Sega";NO;berens;YES;berens;-;
berensp07;"The Berenstain Bears' Camping Adventure (Prototype, 19940716)";1994;"Sega";NO;berens;YES;berens;-;
berensp06;"The Berenstain Bears' Camping Adventure (Prototype, 19940720)";1994;"Sega";NO;berens;YES;berens;-;
berensp05;"The Berenstain Bears' Camping Adventure (Prototype, 19940801)";1994;"Sega";NO;berens;YES;berens;-;
berensp04;"The Berenstain Bears' Camping Adventure (Prototype, 19940802)";1994;"Sega";NO;berens;YES;berens;-;
berensp03;"The Berenstain Bears' Camping Adventure (Prototype, 19940803)";1994;"Sega";NO;berens;YES;berens;-;
berensp02;"The Berenstain Bears' Camping Adventure (Prototype, 19940805)";1994;"Sega";NO;berens;YES;berens;-;
berensp01;"The Berenstain Bears' Camping Adventure (Prototype, 19940808)";1994;"Sega";NO;berens;YES;berens;-;
berens;"The Berenstain Bears' Camping Adventure (USA)";1994;"Sega";YES;-;NO;-;-;
chaoseng;"The Chaos Engine (Euro)";1992;"Microprose";YES;-;NO;-;-;
chaosen2;"The Chaos Engine 2 (Euro, Prototype)";199?;"<unknown>";YES;-;NO;-;-;
deathret;"The Death and Return of Superman (USA)";1995;"Sunsoft";YES;-;NO;-;-;
disneycl;"The Disney Collection - Mickey and Donald (Euro)";1996;"Sega";YES;-;NO;-;-;
earthdef;"The Earth Defense (USA)";1995;"Realtec";YES;-;NO;-;-;
faerytal;"The Faery Tale Adventure (Euro, USA)";1991;"Electronic Arts";YES;-;NO;-;-;
flint;"The Flintstones (Euro)";1993;"Taito";YES;-;NO;-;-;
flintj;"The Flintstones (Jpn)";1993;"Taito";NO;flint;YES;flint;-;
flintu;"The Flintstones (USA)";1993;"Taito";NO;flint;YES;flint;-;
wintchal1;"The Games: Winter Challenge (Euro, USA)";1992;"Ballistic";NO;wintchal;YES;wintchal;-;
mickeycm;"The Great Circus Mystery Starring Mickey & Minnie (USA)";1994;"Capcom";YES;-;NO;-;-;
waldo;"The Great Waldo Search (USA)";1992;"THQ";YES;-;NO;-;-;
humans;"The Humans (USA)";1992;"GameTek";YES;-;NO;-;-;
hybridf;"The Hybrid Front (Jpn)";1994;"Sega";YES;-;NO;-;-;
hybridfp;"The Hybrid Front (Jpn, Prototype)";1994;"Sega";NO;hybridf;YES;hybridf;-;
immortal;"The Immortal (Euro, USA)";1993;"Electronic Arts";YES;-;NO;-;-;
crashdum;"The Incredible Crash Dummies (Euro, USA)";1993;"Flying Edge";YES;-;NO;-;-;
crashdump;"The Incredible Crash Dummies (USA, Prototype)";1993;"Flying Edge";NO;crashdum;YES;crashdum;-;
hulk;"The Incredible Hulk (Euro, USA)";1994;"U.S. Gold";YES;-;NO;-;-;
incredib;"The Incredibles (Rus)";199?;"Glorysun";NO;tick;YES;tick;-;
itchy;"The Itchy and Scratchy Game (USA, Prototype)";1994;"Acclaim Entertainment";YES;-;NO;-;-;
kickbox;"The Kick Boxing (Jpn, Kor)";1993;"Micro World";NO;bestof;YES;bestof;-;
killshow;"The Killing Game Show (Jpn)";1993;"Electronic Arts Victor";NO;fatalrew;YES;fatalrew;-;
kof99;"The King of Fighters '99";199?;"<unlicensed>";YES;-;NO;-;-;
kof99a;"The King of Fighters '99 (Alt)";199?;"<unlicensed>";NO;kof99;YES;kof99;-;
lawnmowr;"The Lawnmower Man (Euro, USA)";1994;"Time Warner Interactive";YES;-;NO;-;-;
lionking;"The Lion King (World)";1994;"Virgin Interactive";YES;-;NO;-;-;
lostvik;"The Lost Vikings (Euro)";1993;"Interplay";YES;-;NO;-;-;
lostvikp;"The Lost Vikings (Euro, Prototype)";1993;"Interplay";NO;lostvik;YES;lostvik;-;
lostviku;"The Lost Vikings (USA)";1992;"Interplay";NO;lostvik;YES;lostvik;-;
lostwrld;"The Lost World - Jurassic Park (Euro, USA)";1997;"Sega";YES;-;NO;-;-;
msbp12;"The Magic School Bus (Prototype, 19950112)";1995;"Sega";NO;msb;YES;msb;-;
msbp11;"The Magic School Bus (Prototype, 19950202)";1995;"Sega";NO;msb;YES;msb;-;
msbp10;"The Magic School Bus (Prototype, 19950217)";1995;"Sega";NO;msb;YES;msb;-;
msbp09;"The Magic School Bus (Prototype, 19950307)";1995;"Sega";NO;msb;YES;msb;-;
msbp08;"The Magic School Bus (Prototype, 19950314)";1995;"Sega";NO;msb;YES;msb;-;
msbp07;"The Magic School Bus (Prototype, 19950327)";1995;"Sega";NO;msb;YES;msb;-;
miraclep;"The Miracle Piano Teaching System (USA)";1992;"Software Toolworks";YES;-;NO;-;-;
tnzs;"The New Zealand Story (Jpn)";1990;"Taito";YES;-;NO;-;-;
ooze;"The Ooze (Euro)";1995;"Sega";YES;-;NO;-;-;
oozep01;"The Ooze (Euro, Prototype, 19950728)";1995;"Sega";NO;ooze;YES;ooze;-;
oozeju;"The Ooze (Jpn, USA)";1995;"Sega";NO;ooze;YES;ooze;-;
oozep05;"The Ooze (Prototype 104, 19950622)";1995;"Sega";NO;ooze;YES;ooze;-;
