name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
legndillj;"Mickey Mouse Densetsu no Oukoku - Legend of Illusion (Jpn)";1995;"Sega";NO;legndill;YES;legndill;-;
castlillj;"Mickey Mouse no Castle Illusion (Jpn, SMS Mode)";1991;"Sega";NO;castlill;YES;castlill;-;
landillj;"Mickey Mouse no Mahou no Crystal (Jpn)";1993;"Sega";NO;landill;YES;landill;-;
mickeyuc;"Mickey's Ultimate Challenge (Euro, USA)";1994;"Hi Tech Expressions";YES;-;NO;-;-;
micromac;"Micro Machines (Euro)";1993;"Codemasters";YES;-;NO;-;-;
micromc2;"Micro Machines 2 - Turbo Tournament (Euro)";1995;"Codemasters";YES;-;NO;-;-;
mmpr;"Mighty Morphin Power Rangers (Euro, USA)";1994;"Sega";YES;-;NO;-;-;
mmprp;"Mighty Morphin Power Rangers (Prototype, 19940716)";1994;"Sega";NO;mmpr;YES;mmpr;-;
mmprtm;"Mighty Morphin Power Rangers - The Movie (Euro, USA)";1995;"Sega";YES;-;NO;-;-;
mmprtmp;"Mighty Morphin Power Rangers - The Movie (Prototype, 19950530)";1995;"Sega";NO;mmprtm;YES;mmprtm;-;
mlbpa;"MLBPA Baseball (USA)";1995;"Electronic Arts";YES;-;NO;-;-;
moldoran;"Moldorian - Hikari to Yami no Sister (Jpn)";1994;"Sega";YES;-;NO;-;-;
monstwar;"Monster Truck Wars (Euro, USA)";1994;"Acclaim Entertainment";YES;-;NO;-;-;
mworld2;"Monster World II - Dragon no Wana (Jpn)";1992;"Sega";NO;wboydtrp;YES;wboydtrp;-;
mk;"Mortal Kombat (Euro, USA, v2.6)";1993;"Arena";YES;-;NO;-;-;
mkj;"Mortal Kombat (Jpn, v3.3)";1993;"Acclaim Entertainment";NO;mk;YES;mk;-;
mk3;"Mortal Kombat 3 (Euro)";1995;"Acclaim Entertainment";YES;-;NO;-;-;
mk2;"Mortal Kombat II (World)";1994;"Acclaim Entertainment";YES;-;NO;-;-;
mspacman;"Ms. Pac-Man (USA)";199?;"Unknown";YES;-;NO;-;-;
nazopuyo1;"Nazo Puyo (Jpn, v0)";1993;"Sega";NO;nazopuyo;YES;nazopuyo;-;
nazopuyo;"Nazo Puyo (Jpn, v1)";1993;"Sega";YES;-;NO;-;-;
nazpuyo2;"Nazo Puyo 2 (Jpn)";1993;"Sega";YES;-;NO;-;-;
nazpyoar;"Nazo Puyo Arle no Roux (Jpn)";1994;"Sega";YES;-;NO;-;-;
nazpyoarp;"Nazo Puyo Arle no Roux (Jpn, Prototype)";1994;"Sega";NO;nazpyoar;YES;nazpyoar;-;
nbaactp08;"NBA Action Starring David Robinson (Final A,  19940228)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp07;"NBA Action Starring David Robinson (Final B,  19940301)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp06;"NBA Action Starring David Robinson (Final C,  19940302)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp05;"NBA Action Starring David Robinson (Final D,  19940303)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp04;"NBA Action Starring David Robinson (Final E,  19940304)";1994;"Sega";NO;nbaact;YES;nbaact;-;
